LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INFRAINVEST,ROAD,EUR,A,1994,2853264889,
AUS,INFRAINVEST,ROAD,EUR,A,1995,2425107142,
AUS,INFRAINVEST,ROAD,EUR,A,1996,2924042252,
AUS,INFRAINVEST,ROAD,EUR,A,1997,3333285963,
AUS,INFRAINVEST,ROAD,EUR,A,1998,3537193230,
AUS,INFRAINVEST,ROAD,EUR,A,1999,3929716945,
AUS,INFRAINVEST,ROAD,EUR,A,2000,3700546881,
AUS,INFRAINVEST,ROAD,EUR,A,2001,3261995407,
AUS,INFRAINVEST,ROAD,EUR,A,2002,3429883601,
AUS,INFRAINVEST,ROAD,EUR,A,2003,4084762236,
AUS,INFRAINVEST,ROAD,EUR,A,2004,5192125951,
AUS,INFRAINVEST,ROAD,EUR,A,2005,6753177990,
AUS,INFRAINVEST,ROAD,EUR,A,2006,6972545187,
AUS,INFRAINVEST,ROAD,EUR,A,2007,8026364947,
AUS,INFRAINVEST,ROAD,EUR,A,2008,9304510165,
AUS,INFRAINVEST,ROAD,EUR,A,2009,9195852832,
AUS,INFRAINVEST,ROAD,EUR,A,2010,11200596051,
AUS,INFRAINVEST,ROAD,EUR,A,2011,13801954227,
AUS,INFRAINVEST,ROAD,EUR,A,2012,15900879666,
AUS,INFRAINVEST,ROAD,EUR,A,2013,12734390340,
AUT,INFRAINVEST,ROAD,EUR,A,1994,483129001.5,
AUT,INFRAINVEST,ROAD,EUR,A,1995,457000000,
AUT,INFRAINVEST,ROAD,EUR,A,1996,426000000,
AUT,INFRAINVEST,ROAD,EUR,A,1997,365000000,
AUT,INFRAINVEST,ROAD,EUR,A,1998,430000000,
AUT,INFRAINVEST,ROAD,EUR,A,1999,391000000,
AUT,INFRAINVEST,ROAD,EUR,A,2000,475000000,
AUT,INFRAINVEST,ROAD,EUR,A,2001,640000000,
AUT,INFRAINVEST,ROAD,EUR,A,2002,532000000,B
AUT,INFRAINVEST,ROAD,EUR,A,2003,650000000,
AUT,INFRAINVEST,ROAD,EUR,A,2004,720000000,
AUT,INFRAINVEST,ROAD,EUR,A,2005,687000000,
AUT,INFRAINVEST,ROAD,EUR,A,2006,802000000,
AUT,INFRAINVEST,ROAD,EUR,A,2007,870000000,
AUT,INFRAINVEST,ROAD,EUR,A,2008,875000000,
AUT,INFRAINVEST,ROAD,EUR,A,2009,665000000,
AUT,INFRAINVEST,ROAD,EUR,A,2010,390000000,
AUT,INFRAINVEST,ROAD,EUR,A,2011,303000000,
